nombre,razon_social,domicilio,colonia,poblacion
GAS JEZAM COMB,JEZAM COMBUSTIBLES SA CV,20 DE NOVIEMBRE NO 1155 OTE,CENTRO,DURANGO DGO
GAS NUNEZ DOMINGUEZ DB,NUNEZ Y DOMINGUEZ SRL CV,5 DE FEBRERO NO 703 OTE,CENTRO,DURANGO DGO
GAS PREMIER ARRIETA,GASOSERVICIOS PREMIER SA CV,BLVD DOMINGO ARRIETA NO 837,LIENZO CHARRO,DURANGO DGO
GAS PREMIER L CARD,GASOSERVICIOS PREMIER SA CV,CLL LAZARO CARDENAS NO 615 SUR,CENTRO,DURANGO DGO
GASOL ELIZONDO,GASOLINERA ELIZONDO SA CV,BRUNO MARTINEZ NO 210 NTE,CENTRO,DURANGO DGO
GASOL LA GLORIETA DGO ,GASOL LA GLORIETA DGO SA CV,BLVD FRANCISCO VILLA NO 305,LA GLORIETA,DURANGO DGO
OPER FUTURA,OPER FUTURA SA CV,AV REAL DEL MEZQUITAL NO 81,REAL DEL MEZQUITAL,DURANGO DGO
SERV COMB SCORPIO DEB ,SERV Y COMBUSTIBLES SCORPIO SA,ANT CAMINO A CONTRERAS,FRACC IND SCORPIO,DURANGO DGO
SERV DURANGO,SERVICIO DURANGO SA CV,BLVD ARMANDO DE CASTILLO 101,BELLAVISTA,DURANGO DGO
SERV DURANGO DEB,SERVICIO DURANGO SA CV,BLVD ARMANDO DEL CASTILLO 101,BELLA VISTA,DURANGO DGO
SERV ESPELETA,SERV ESPELETA SA CV,FELIPE PESCADOR SN ESQ LIBERT,CENTRO,DURANGO DGO
SERV GALLEGOS,GALINDO MARTEL MARIA DE LA LUZ,PROL PINO SUAREZ NO 126,LAS CUMBRES,DURANGO DGO
SERV INT DEL GUADIANA ,SERV INT DEL GUADIANA SRL CV  ,APARTADO POSTAL NO 373,CENTRO,DURANGO DGO
SERV LOMAS DE DURANGO ,SERV LOMAS DURANGO SRL CV,CARR DURANGOMAZ KM 965,LOMAS DEL PARQUE,DURANGO DGO
SERV SAN CARLOS,MIJARES GUTIERREZ CARLOS A,ENRIQUE CARROLA ANTUNA NO 1242,MIRAMAR,DURANGO DGO
SERV VAZQUEZ,VAZQUEZ HERRERA J PEDRO,BLVD DOMINGO ARRIETA NO 3003,JUAN LIRA,DURANGO DGO
SERV VAZQUEZ,VAZQUEZ HERRERA JOSE PEDRO,CARR DURANGO A ZACATECAS 1300,ANT CMA A CRISTOBAL COLON,DURANGO DGO
SERV VAZQUEZ DEB,VAZQUEZ HERRERA J PEDRO,BLVD DOMINGO ARRIETA NO 3003,JUAN LIRA,DURANGO DGO
SERV VAZQUEZ DEB,VAZQUEZ HERRERA JOSE PEDRO,CARR DURANGO A ZACATECAS 1300,ANT CMA A CRISTOBAL COLON,DURANGO DGO
SERV Y COMB SCORPIO,SERV Y COMB SCORPIO SA CV,ANT CAMINO A CONTRERAS,FRACC IND SCORPIO,DURANGO DGO
SUPER S SAN JUAN DEB  ,SUPER SERV SAN JUAN SA CV,FELIPE PESCADOR NO 127 PTE,CENTRO,DURANGO DGO
SUPER SERV ARRIETA,SUPER SERV ARRIETA SA CV,PTO DE ENSENADA NO 907,MADERERA,DURANGO DGO
SUPER SERV EL CALLEJON,SUPER SERV EL CALLEJON SA CV  ,LIB S IGNACIO ESQ S BOLIVAR SN,SAN IGNACIO,DURANGO DGO
SUPER SERV SAN JUAN,SUPER SERV SAN JUAN SA CV,FELIPE PESCADOR NO 127 PTE,CENTRO,DURANGO DGO
ALTAVILLA,ALTAVILLA SA,CAMONI REC HIDRAULICOS LT 26 S,SAN CRISTOBAL EJIDO,ECATEPEC EM
ALTAVILLA,ALTAVILLA SA,CARR MEX PIRAMIDES KM 27 5,RUIZ CORTINES ADOLFO,ECATEPEC EM
ALTAVILLA,ALTAVILLA SA,AV VIA MORELOS NO 140A,ALTAVILLA,ECATEPEC EM
ANTIGUA R1,ANTIGUA R1 SA CV,ADOLFO LOPEZ MATEOS NO LT 127,SANTA MARIA TULPETLAC,ECATEPEC EM
CENTRAL III,GASOL Y SERV CENTRAL III SA CV,AV CTRAL MZ 19 LT 1 NO 8,ORTIZ DE DOMINGUEZ JOSEFA,ECATEPEC EM
DIMECO,DIMECO SA CV,AV LOPEZ PORTILLO NO 364,GUADALUPE VICTORIA,ECATEPEC EM
ES SERV PEMEX NO 5488 ,OCHOA FRAGOSO ALEJANDRO M,VIA MORELOS NO 359,SANTA MARIA TULPETLAC,ECATEPEC EM
GAS CENTRAL,GAS CENTRAL SA CV,V HANK GONZALEZ NO 120,NVO PASEO DE SN AGUSTIN S 1 2,ECATEPEC EM
GAS CENTRAL DEB,GAS CENTRAL SA CV,AV HANK GONZALEZ NO 120,RNADA DE ARAGON,ECATEPEC EM
GAS Y SERV CENTRAL II ,GAS Y SERV CENTRAL II SACV,AV CENTRAL SN,EJIDOS STA MA TULTEPEC,ECATEPEC EM
GASOL ECATEPEC,OCHOA FRAGOSO A MARIO,BLVD INSURGENTES SN,TIERRA BLANCA,ECATEPEC EM
GASOL LA CHICA,GASOL LA CHICA SA CV,VIA LOPEZ PORTILLO NO 417,GUADALUPE VICTORIA,ECATEPEC EM
GASOL LA CHICA,GASOLINERIA LA CHICA SA CV,VIA JOSE LOPEZ PORTILLO NO 417,GUADALUPE VICTORIA,ECATEPEC EM
GASOL LA GDE,GASOLINERIA LA GRANDE SA CV,VIA JOSE LOPEZ PORTILLO NO 367,GUADALUPE VICTORIA,ECATEPEC EM
GASOL TEXCOCO,DESECHOS BIOLOG E INDUS SA CV ,1ERA CDA CALZ DE LA VIGA SN,PREDIO PROTERO DE LA COFRADIA,ECATEPEC EM
GASOMER ECATEPEC,GASOMER SA CV,AV REVOLUCION SN,HOGARES MARLA,ECATEPEC EM
SERV 30 30,SERV TREINTA TREINTA SA CV,AV REVOLUCION NO 46,SANTA AGUEDA,ECATEPEC EM
SERV AZTLAN,SERVICIO AZTLAN SA CV,BLVD DE LOS AZTECAS NO 123,CIUDAD AZTECA,ECATEPEC EM
SERV CERRO GORDO,SERV CERRO GORDO SA CV,VIA MORELOS NO 373,SANTA CLARA COATITLA,ECATEPEC EM
SERV CHICONAHUTLA,SERC CHICONAHUTLA SA CV,CARR VIEJA MEX PACHUCA KM 28,STA MA CHICONAHUTLA,ECATEPEC EM
SERV CHICONAHUTLA DEB ,SERC CHICONAHUTLA SA CV,CARR VIEJA MEX PACHUCA KM 28,STA MA CHICONAHUTLA,ECATEPEC EM
SERV EMP AUTOMATIZADOS,SERV EMP AUTOMATIZADOS SA CV  ,CARR MEXICO TEX CO NO 566,VENTA DE CARPIO,ECATEPEC EM
SERV EST AUTOMOTRICES ,SERV EST AUTOM SA CV,CAMINO VECINAL MINAS NO 1,SANTA CLARA COATITLA,ECATEPEC EM
SERV GOMASA,SERV GOMASA SA CV,BLVD E ZAPATA NO 45 17,JUAREZ BENITO XALOSTOC,ECATEPEC EM
SERV GUADALUPE VICTORI,SERV GUADALUP VICTOR SA CV,VIA JOSE L PORTILLO NO 100,GUADALUPE VICTORIA,ECATEPEC EM
SERV GUADIANA,INMUEBLES VENTA CARPIO SA CV  ,ALFREDO ZARATE NO 221,GRANJAS VALLE DE GUAD SECC C,ECATEPEC EM
SERV IRIS,SERVICIO IRIS SA CV,AV R 1 MZ NO LT 1,SAN FRANCISCO XALOSTOC,ECATEPEC EM
SERV LOS ANDES,SERVICIO LOS ANDES SA CV,RUIZ CORTINEZ NO SN,BOSQUES DE ECATEPEC,ECATEPEC EM
SERV MORELOS ECATEPEC ,SERV MORELOS ECATEPEC SACV,BLVD VIA MORELOS NO 170,LOS LAURELES,ECATEPEC EM
SERV NUEVO LAREDO,SERV NUEVO LAREDO SA CV,VIA MORELOS NO 515,SANTA MARIA TULPETLAC,ECATEPEC EM
SERV RAGUVES,RAGUVES SA CV,AV DE LA LAGUNA NO 140,MIGUEL HIDALGO,ECATEPEC EM
SERV ROKY,SERV ROKY SA CV,AV CENTRAL NO 140,CD AZTECA,ECATEPEC EM
SERV SANTO TOMAS,SERVICIO BEGONIA SA CV,AV NACIONAL NO 118,A C  SANTA MARIA CHICONAUTLA,ECATEPEC EM
SERV VALLE DE GPE,SERVICIO BEGONIA SA CV,AV CARLOS HANK GONZALEZ NO 141,GRANJAS VALLE DE GUAD SECC C,ECATEPEC EM
SUPER RAPIDO,COMERCIAL SUGART SA CV,VIA MORELOS NO 140,ALTAVILLA,ECATEPEC EM
SUPER SERV FLORENCIA  ,SUPER SERV FLORENCIA SA CV,HANK GONZALEZ NO 48,LADERAS DEL PENON,ECATEPEC EM
SUPER SERV META,SUPER SERV META SA CV,AV VIA MORELOS NO 416,CUAUHTEMOC XALOSTOC,ECATEPEC EM
SUPER SERV SAN RAFAEL ,SUPER SERV SAN RAFAEL SA CV,AV VIA MORELOS NO 56,A DE OBREROS Y SIMILARES,ECATEPEC EM
SUPER SERVICIO RIOLUNA,SUPER SERV RIOLUNA SA,AV VIA MORELOS NO 65,ALAMO DE SAN CRISTOBAL,ECATEPEC EM
SERV ECUANDUREO,SERVICIO ECUANDUREO SA CV,CARR ZAMORA PIEDAD KM 17 5,ECUANDUREO,ECUANDUREO MICH
GASOL EL HIGO,GASOL EL HIGO SA CV,CARR EL HIGO LA Y KM 2,ADMON DE CORREOS EL HIGO,EL HIGO VER
GASOL EL PARAISO,TORRES SILVA CARMEN MARIA,CARR COLON BERNAL KM 1.5,EL PARAISO,EL MARQUES QRO
SERV PETREOCENTRO,GPO EMPRESARIAL ENERG SA CV,CARR MEX QRO KM 191 137,VILLA DEL MARQUES,EL MARQUES QRO
GAS IMPERIAL DURANGO  ,REGIO GAS LERDO SA,CARR A SAN BERNARDO NO KM 1,SANTA MARIA DEL ORO,EL ORO DGO
SERV HIDALGO,CARRETE RINCON BARBARA,HIDALGO NO 128,SANTA MARIA DEL ORO,EL ORO DGO
SERV DEL ROSARIO,SERV DEL ROSARIO SA CV,CARR INTL KM 223,EL ROSARIO,EL ROSARIO SIN
SERV EL RECREO DEB,SERVICIO EL RECREO SA CV,CARR ROSARIO AGUAVERDE KM 18,ROSARIO,EL ROSARIO SIN
GASOL MEX DEB,GASOLINEROS MEXICANOS SA CV,CARR A EL SALTO KM 9,EJIDAL,EL SALTO JAL
GASOL MEXICANOS,GASOLINEROS MEXICANOS SA CV,CARR A EL SALTO KM 9,EJIDAL,EL SALTO JAL
SERV ECOLOGICO ZAPATA ,SERV ECOLOGICO ZAPATA SA CV,CARR EMILIANO ZAPATA KM 18,ZAPATA EMILIANO,EMILIANO ZAPATA HGO
COMBUSTIBLES ZAPATA,COMBUSTIBLES ZAPATA SA CV,AV TEMIXCO NO 161,BENITO JUAREZ,EMILIANO ZAPATA MOR
CONSORCIO MARIN ZAPATA,CONSORCIO MARIN SA CV,AV CHIAPAS KM 1 NO S N,ADM CORR  EMILIANO ZAPATA,EMILIANO ZAPATA TAB
SERV EL LENCERO,CTRO GASOL ANIMAS SA CV,KM 7.5 CARR FED XAL VER NO 20,CENTRO,EMILIANO ZAPATA VER
SERV MIRADORES,CENTRO GASOLINERO ANIMAS SA CV,KM 13 CARR FED XALAP VER NO 13,CENTRO,EMILIANO ZAPATA VER
SUPER SERV MONTIEL,SUPER SERV MONTIEL SA CV,CARR XALAPA VERACRUZ KM 53,ADMON DE CORREOS RINCONADA,EMILIANO ZAPATA VER
SERV EL SATELITE,SERV EL SATELITE DE EMP SA CV ,AV H NACOZARI Y ZARAGOZA NO 0,MODERNA,EMPALME SON
SERV MARIOS,SERVICIO MARIOS SA CV,CARR INT EMPALME OBREGON KM 19,MODERNA,EMPALME SON
SERV MAYTORENA,MAYTORENA FLORES REYNALDO,LT 10 MZ 90 NO SN SN,MODERNA,EMPALME SON
EST ENSENADA,OPER GASOSENDA SA CV,CARR TRANSP L26 30 M32 NO 8781,EX EJIDO CHAPULTEPEC 11,ENSENADA BCN
ESTACION EL NARANJO,ESTACION EL NARANJO SA CV,CARR TRANSPENINSULAR KM 114,EL CIPRES,ENSENADA BCN
GASOL REFORMA,GASOLINERA REFORMA SA CV,REFORMA Y ALDAMA NO 716,OBRERA,ENSENADA BCN
S MODELO BLVD COSTERO ,SUPER SERVICIO MODELO SA CV,BLVD L CARDENAS NO 1979,PLAYA DE ENSENADA,ENSENADA BCN
SERV ALAN,SERVICIO ALAN SA CV,C 10 Y 20 DE NOVIEMBRE NO 1032,CENTRO,ENSENADA BCN
SERV EL CAPITAN,CARRANZA GUTIERREZ REN,CARRET TRANSPENINSULAR SN KM 111,FRACC ACAPULCO,ENSENADA BCN
SERV LOPEZSA,LOPEZ ROCHIN JORGE ISAAC,AV RUIZ NO 998 Y C DIEZ,CENTRO,ENSENADA BCN
SERV LOS OLIVOS 5923  ,SERVICIO LOS OLIVOS SA CV,JOSE MA MORELOS Y PAVON NO 101,EL CIPRES,ENSENADA BCN
SERV SANTA CATALINA,SERVICIO SANTA CATALINA,AV TIJUANA NO 1205,MANEADERO,ENSENADA BCN
SERV LERMA,SERV LERMA DE PACIFICO SA CV  ,CARR INTERNACIONAL KM 1105,ESCUINAPA,ESCUINAPA SIN
ESPINAL,VARGAS CUEVAS MANUEL ADONAY,CARR ESPINAL PAPANTLA KM 600,ESPINAL,ESPINAL VER
ESPINAL DEB,VARGAS CUEVAS MANUEL ODONAY,CARR ESPINAL PAPANTLA KM 600,ESPINAL,ESPINAL VER
SERV BACOBAMPO,SERV BACOBAMPO SA CV,CHIHUAHUA Y GUERRERO SN,BACOBAMPO,ETCHOJOA SON
SERV BACOBAMPO COMPART,SERV BACOBAMPO SA CV,CARRT A VILLA JUAREZ NO 96,CENTRO,ETCHOJOA SON
SERV JECOPACO,SERVICIO JECOPACO SA CV,AV BENITO JUAREZ ESQ 12 OCTUBR,JECOPACO,ETCHOJOA SON
SERV JECOPACO DEB,SERVICIO JECOPACO SA CV,AV BENITO JUAREZ ESQ 12 OCTUBR,JECOPACO,ETCHOJOA SON
SERV VILLA JUAREZ,SERV VILLA JUAREZ SA,INDEPENDENCIA Y ANGOSTURA SN,VILLA JUAREZ,ETCHOJOA SON
SUPER SERV 5 MINAS DEB,SUPER SERV 5 MINAS SA CV,EXTRAMUROS NO 201,ETZATLAN,ETZATLAN JAL
EST SERV LAS AMERICAS ,EST SERV LAS AMERICAS SA,BLVD FCO I MADERO NO 112 SUR,CENTRO,FCO I MADERO COAH
GASOL 5 ESTRELLAS,MARRUFO LOPEZ JOSE LUIS,CARR MADERO FINISTERRE NO KM 1,EL LEQUEITIO,FCO I MADERO COAH
CAFETOS MONTE SALAS,LOS CAFETOS D MONTE SALAS SACV,CARR FORTIN HUATUS KM2 100 SN,MONTESALAS,FORTIN VER
GAS MABARAK,ESTUFAS Y GAS DE CORDOBA SA,KM 166.5 AUT PUECORDOBA SN,FORTIN DE LAS FLORES,FORTIN VER
GAS MABARAK,HIDRO GAS D VERACRUZ SA CV,AV 14 ESQ C 10 SN,FORTIN DE LAS FLORES,FORTIN VER
GASOL ESTACION 6831,EGU SA CV,CARR ACTOPAN TULA 2 KM 16.6,TEPATEPEC,FRANCISCO I MADERO HGO
EST DE SERV LA MESA,SALAS LOPEZ ELDAID,PROL AV REYES GARCIA SN,HUITZILAC,FRANCISCO Z MENA PUE
EST SERV AMER HONDURAS,EST SERV LAS AMERICAS SA CV,REP DE HONDURAS NO 2,LAS AMERICAS,FRESNILLO ZAC
EST SERV AMER PLATEROS,EST SERV LAS AMERICAS SA CV,PLATEROS NO 526,EMILIANO ZAPATA,FRESNILLO ZAC
ISLO FRESNILLO,GASISLO 2000 SA CV,PASEO DEL MINERAL NO 519,LAS HUERTAS,FRESNILLO ZAC
SERV LAGUNA BLANCA,RAMIREZ MEDINA ROSALIO,CARR FLLO VALPARAISO KM 5,DEL VALLE,FRESNILLO ZAC
SERV LAS PALMAS FRESNI,SERV LAS PALMAS FRESNI SA CV  ,CARR PANAM KM 739.5,CENTRO,FRESNILLO ZAC
AMC LIBRAMIENTO,MONCADA CANTU ABELARDO,LIB C SALINAS D GORTAR NO 184N,INDUSTRIAL,FRONTERA COAH
AUTO SERV COAHUILA,AUTO SERV COAHUILA SA CV,CARR 30 ESQ FCO MURGUIA SN,CENTRO,FRONTERA COAH
SERV AVIACION,SERV AVIACION SA CV,CRT 30 NO 600,HEROE DE NACOZARI,FRONTERA COAH
SERV LINAJE,LINAJE NEIRA MANUEL ALFONZO,5 DE MAYO NO 110,ZONA CENTRO,FRONTERA COAH
GASOL FRONTERA,GASOL FRONTERA SA CV,KM 28 CARR TAPACHULA CD HIDALG,FRONTERA HIDALGO PUEBLO,FRONTERA HIDALGO CHIS
EST SERV ESQUEDA,EST SERV ESQUEDA SA CV,AV MORELOS Y C 21 DE MARZO SN,ESQUEDA ESTACION,FRONTERAS SON
SERV AVILA,AVILA CASTRO ADOLFO A,CARR INTERNAL SUR KM 1826 SN,CENTRO,FUNDICION SON
GASOL TLC,SERVICIO TLC SA CV,CARR CENTRAL NO 57 KM 178.5,EL POTOSI,GALEANA NL
GAS ECOLOGICA DEL NTE ,GAS ECOLOG DEL NTE SA CV,PROL BERNARDO REYES NO 6765,TOPO CHICO,GENERAL ESCOBEDO NL
GASOL SOLIDARIDAD,GASOL SOLIDARIDAD SA CV,AV LUIS DONALDO COLOSIO NO 500,ADM CORR GENERAL ESCOBEDO,GENERAL ESCOBEDO NL
PETRO 7 CARR COLOMBIA ,PROD SELECCIONADOS SA CV,CARR A COLOMBIA NO 3100 BIS,CENTRO,GENERAL ESCOBEDO NL
PETRO7 V PARQUE,PROD SELECCIONADOS SA CV,R SALINAS LOZANO NO 193,VILLAS DE ESCOBEDO,GENERAL ESCOBEDO NL
RAUL SALINAS,SERV GASOLIN D MEXI SA CV,AV RAUL SALINAS LOZANO 714 A,FRANCISCO MUJICA,GENERAL ESCOBEDO NL
SERV GASOL MEX,SERV GASOL MEXICO SA CV,CARR MEX LAREDO NO 90 1,VALLE DEL CANADA,GENERAL ESCOBEDO NL
SERV GASOL MEX DEB,SERV GASOL MEXICO SA CV,CARR MEX LAREDO NO 90 1,VALLE DEL CANADA,GENERAL ESCOBEDO NL
SERV GYD,SERVICIOS GYD SA CV,AV LAS TORRES NO 100 PTE,RESIDENCIAL ESCOBEDO,GENERAL ESCOBEDO NL
ARY SUPER SERV 1,ARY SUPER SERV I SA CV,C 5 DE MAYO NO 740 NTE,GONZALEZ DE LA VEGA FRANCISCO,GOMEZ PALACIO DGO
CENTRO TRAILERO,IPIRANGA SACV,LIB PERIF TORR GP LERDO KM 4.5,FILADELFIA,GOMEZ PALACIO DGO
CENTRO TRAILERO DEB,IPIRANGA SACV,LIB PERIF TORR GP LERDO KM 4.5,FILADELFIA,GOMEZ PALACIO DGO
CENTRO TRAILERO OF,IPIRANGA SA CV,LIB PER TRR GP LERDO KM 4.5OF,FILADELFIA,GOMEZ PALACIO DGO
CTRO CAMIONERO CHAPALA,IBARRA GONZALEZ JOSUE,LIB EJERCITO MEX KM 9.5 NO 347,CENTRO,GOMEZ PALACIO DGO
CTRO TRAILERO OF DEB  ,IPIRINGA SA CV,LIB PER TRR GP LERDO KM 4.5OF,FILADELFIA,GOMEZ PALACIO DGO
EST SERV LA FERIA DEB ,EST DE SERVICIO LA FERIA SACV ,CALZ LAZARO CARDENAS NO 3005,PQUE IND LAGUNERO,GOMEZ PALACIO DGO
EST SERV LA FERIA MADE,EST SERV LA FERIA SA CV,FCO I MADERO NO 2001 NTE,LOS ALAMOS,GOMEZ PALACIO DGO
EST SERV LA FERIA MINA,EST SERV LA FERIA SA CV,AV MINA NO 1700 NTE,EL REFUGIO,GOMEZ PALACIO DGO
GASOL COOPERATIVA,SOC COOP AGROP COMAR LAG SCL  ,CUATROCIENEGAS SN,ZONA INDUSTRIAL,GOMEZ PALACIO DGO
GASOL LA ENCANTADA,GASOL LA ENCANTADA SA CV,BLVD EJERCITO MEXICANO KM 1.6,GUADALUPE VICTORIA,GOMEZ PALACIO DGO
GASOL LOS ABASTOS,DIST DE COM Y LUB DE DUR SA CV,BLVD JOSE REBOLLO ACOSTA NO 10,ZONA INDUSTRIAL Y SECCIONES,GOMEZ PALACIO DGO
GASOL PARRAL,OLIVARES GARCIA EDUARDO,HIDALGO NO 1552 NTE ESQ FCO SA,CENTRO,GOMEZ PALACIO DGO
GASOL PROGAS,COMBUSTIBLES MURPA SA CV,AV JUAREZ NO 377,CENTRO,GOMEZ PALACIO DGO
GASOL SACRAMENTO,GASOL SACRAMENTO SA CV,CARR A TLAHUALILO KM 1,CENTRO,GOMEZ PALACIO DGO
MI GASOLINA PERIF,DIESEL GASOL DE LA LAGUNA SACV,PERIF TORREON GOMEZ NO 103,PQUE IND LAGUNERO,GOMEZ PALACIO DGO
MI GASOLINA URREA,DIESEL GASOL DE LA LAGUNA SACV,AV MIGUEL A NO 714,STA ROSA,GOMEZ PALACIO DGO
PROGAS,COMBUSTIBLES MURPA SA CV,C JUAREZ NO 375,CENTRO,GOMEZ PALACIO DGO
SERV ADMIN COMAKO,SERV ADMONISTRAT COMAKO SACV  ,SIMON BOLIVAR NO 130,PQUE IND LAGUNERO,GOMEZ PALACIO DGO
SERV ADMIN COMAKO DEB ,SERV ADMINISTRAT COMAKO SA CV ,SIMON BOLIVAR NO 130,PQUE IND LAGUNERO,GOMEZ PALACIO DGO
SERV APACHE,SERVICIO APACHE SA CV,LIB PERIF LERDO GOMEZ KM 10,CENTRO,GOMEZ PALACIO DGO
SERV HIDALGO,RAMIREZ MUNIZ HUGO LEONEL,AV HIDALGO NO 1101 SUR,CENTRO,GOMEZ PALACIO DGO
SERV LOS HERMANOS,SERV LOS HERMANOS SA CV,CARR A CD JUAREZ KM 4 SN,CENTRO,GOMEZ PALACIO DGO
SERV SANTA RITA,SERVICIO SANTA RITA SA CV,CARR GOMEZ PALACIO FCO I MAD 7,CENTRO,GOMEZ PALACIO DGO
SERVITEC DIV DEL NTE  ,GASOLINERA SERVITEC SA CV,BLVD DIVISION D NTE NO 2299,AMPL BRITTINGHAM,GOMEZ PALACIO DGO
SERVITEC DIVISION,GASOL SERVITEC SA CV,BLVD DIV DEL NTE NO 2299,AMPL BRITTINGHAM,GOMEZ PALACIO DGO
SUPER SERV CAMP,SUPER SERV EL CAMP SA,BLVD MIGUEL ALEMAN AV VIC SN,LAS ROSAS,GOMEZ PALACIO DGO
SERV AGROP D L HUASTEC,SERV AGRO D L HUAST SA CV,CARR TAMPICO SN KM 96,GONZALEZ VILLA,GONZALEZ TAMPS
SERV ENRIQUE ESTRADA  ,SANDOVAL BAZAN JOSE MANUEL,CARR PANAMERICANA NO 694,ESTRADA ENRIQUE GRAL,GRAL ENRIQUE ESTRADA ZAC
SERV GARCIA,REYES ZARZOSA BLANCA ARACELY  ,ZACATECAS SLP KM 29,EL SALADILLO,GRAL PANFILO NATERA ZAC
EST LA ROCA,OPER RIO COLORADO SRL CV,BLVD BENEMERITO AMERICAS NO104,CENTRO,GRAL PLUTARCO ELIAS C SON
SUPER SERV SALCIDO,SUPER SERVICIO SALCIDO SA CV  ,BLVD FCO EUSEBIO KINO NO 50,CENTRO,GRAL PLUTARCO ELIAS C SON
APTO DE GUADALAJARA,APTOS Y SERV AUXILIARES,AV DE LA SOLIDARIDAD AMERICANA,TLAJOMULCO,GUADALAJARA JAL
GASOL BELISARIO DOMING,GASOL BELISARIO DOM SA CV,BELISARIO DOMINGUEZ SN,DOMINGUEZ BELISARIO,GUADALAJARA JAL
GASOL ESTEBAN ALATORRE,GASOL ESTEBAN ALATORRE SA CV  ,ESTEBAN ALATORRE NO 3002,LIBERTAD,GUADALAJARA JAL
GPO JAGUAR DE OCCTE,GPO JAGUAR OCCTE SA CV,AV REPUBLICA NO 380,ELECTRICISTAS,GUADALAJARA JAL
LUBRICA AUT,LUBRICA AUTOMOTRIZ SA CV,AV NO8 DE JULIO NO 2236,ZONA INDUSTRIAL,GUADALAJARA JAL
MULTISERV CALZADA,MULTISERV CALZADA SA CV,CALZ INDEPENDENCIA NTE NO 292,LA FEDERACHA SECCION CALZADA,GUADALAJARA JAL
NINOS HEROES EST SERV ,NINOS HEROS EST SEV SA CV,NINOS HEROES NO 1580,MODERNA,GUADALAJARA JAL
RAM IND SA CV,RAM IND SA CV,AV 8 DE JULIO NO 2595,ZONA INDUSTRIAL,GUADALAJARA JAL
SERV INDS JALISCO,SERV INDS DE JALISCO SA CV,AV GOBER CURIEL NO 2446,ZONA INDUSTRIAL,GUADALAJARA JAL
SERV LA 34,GASOLINERIA LA 34 SA CV,ESTEBAN LOERA NO 556,SECTOR LIBERTAD,GUADALAJARA JAL
SUPER SERV DEL OBRERO ,SUPERSERVICIO EL OBRERO SA CV ,CLZ DEL OBRERO NO 1635,SECTOR LIBERTAD,GUADALAJARA JAL
VALES GASOL PETRO 7,PRODUCTOS SELECCIONADOS SACV  ,JUSTO SIERRA NO 2464,LADRON DE GUEVARA,GUADALAJARA JAL
AZTECA DORADA,AZTECA DORADA SA CV,AV MORONES PRIETO NO 3200,AZTECA INFONAVIT,GUADALUPE NL
ENERGETICOS LOPEZ MATE,ENERGETICOS LOPEZ MATEOS SA CV,AV ADOLFO LOPEZ MATEOS NO 1002,GUERRERO VICENTE,GUADALUPE NL
GASOL CTRAL DE,GASOL CENTRAL DE CARGA SA CV  ,AN RUIZ CORTINEZ  620,AMERICA OBRERA,GUADALUPE NL
GASOL JIMAL,GASOLINERA JIMAL SA,CAR MIGUEL ALEMAN KM 8,VILLA DE SAN MIGUEL,GUADALUPE NL
HIDROCARBUROS QUINTAS ,HIDROCARBUROS QUINTAS SA CV,AV A LOPEZ MATEOS NO 301,GUERRERO VICENTE,GUADALUPE NL
ISI SERV AUT,ISI SERV AUT SA CV,AV MEXICO NO 7601 B,PARQUE INDUSTRIAL LA SILLA,GUADALUPE NL
ISIGAS AUTOPISTA,ISIGAS AUTOPISTA SA CV,BLVD MIGUEL D LA MADRID KM 9.2,NUEVO SAN MIGUEL,GUADALUPE NL
MINIEXPRESS MEXICO NOR,MINIEX MEXICO NORTE SRL CV,AV ELOY CAVAZOS NO 7841,RINCONADA LA SILLA,GUADALUPE NL
PETRO 7 E CAVAZOS,PROD SELECCIONASOS SACV,AV ELOY CAVAZOS NO 100 A,SAAVEDRA SANDRA,GUADALUPE NL
PETRO 7 M DE LA MADRID,PROD SELECCIONADOS SACV,AUTOP MTY CADEREYTA KM 10 1310,JARDINES DE GUADALUPE,GUADALUPE NL
PETRO 7 MEXICO,PROD SELECCIONADOS SACV,AV ACAPULCO NO 100 B,HDA SAN MIGUEL,GUADALUPE NL
PETRO 7 OLMECA,PROD SELECCIONADOS SA CV,AV BENITO JUAREZ NO 1601,LA FUENTE,GUADALUPE NL
PETRO7 COAHUILA,PRODUCTOS SELECCIONADOS SA CV ,CARR A REYNOSA NO 251,TAMAULIPAS,GUADALUPE NL
PROD SELECCIONADOS,PRODUCTOS SELECCIONADOS SA CV ,BENITO JUAREZ NO 1601,LA FUENTE,GUADALUPE NL
PRODTOS SELECCIONADOS,PRODTOS SELECCIONADOS,AV MEXICO NO 100 L B,SAN MIGUEL COLONIALES|,GUADALUPE NL
PRODUCTOS SELECCIONADO,PRODUCTOS SELECCIONADOS SA CV ,KM 10 VILLA AUT MTY CADNO 1310,JARDINES GUADALUPE,GUADALUPE NL
SERV DULNI,SERV DULNI SA CV,I LOPEZ RAYON NO 401,JARDINES DE SAN RAFAEL,GUADALUPE NL
SERV G Y D,SERVICIOS GYD SA CV,JARDINES DE LA SILLA NO 301,VALLE DE SAN ROQUE INFONAVIT,GUADALUPE NL
SERV GASOL SANTOS,SERV GASOLINERO SANTOS SA CV  ,PROL RUIZ CORTINEZ NO 600 OTE,SAN RAFAEL,GUADALUPE NL
